PEDIDO,ID_TECNICO,EMPRESA,LOGIN_ASESOR,DESPACHO,OBSERVACIONES,ACCION,SUB_ACCION,FECHA,PROCESO,PRODUCTO,DURACION_LLAMADA,IDLLAMADA,PRUEBA_INTEGRADA,PRUEBASMNET,UNESOURCESYSTEM,PENDIENTE,DIAGNOSTICO
1-61992180949542,77174166,Emtelco,CRIVERRA,Medellin,"MJS/Buenos días compañera me demoró un poco ya en este momento estoy hiendo para la bodega para surtir me de equipos y materiales validar gracias","Soporte tecnico",General,"2022-11-04 08:30:06",Reparaciones,GPON,00:00:23,,,,,,
1-61992180949542,77174166,Emtelco,AARIASDA,Medellin,"PORFAVOR CAMBIAR DECO ANDROID Y DEJAR APROVISIONADO. GRACIAS /ID CO-F0000091858/SALE:  M92018PW0226/ENTRA: 376933022273104546","Soporte GPON",Contingencia,"2022-11-04 12:19:17",Reparaciones,GPON,00:01:52,3b69da1e-32c4-4f08-a54c-91b777e06987,,,,,
